subprefecture;districts;area_km2;population_2010;demographical_density;aging_index;HDI;crimes;crimes_per_1000pop
Mooca;AGUA RASA;6,9;84963;12313,48;146,11;0,886;2883;33,932
Pinheiros;ALTO DE PINHEIROS;7,7;43117;5599,61;229,4;0,955;16118;373,82
Perus;ANHANGUERA;33,3;65859;1977,75;38,94;0,774;7077;107,457
Aricanduva;ARICANDUVA;6,6;89622;13579,09;108,6;0,83;4523;50,468
Penha;ARTUR ALVIM;6,6;105269;15949,85;100,11;0,833;8106;77,003
Lapa;BARRA FUNDA;5,6;14383;2568,39;117,43;0,917;7105;493,986
Sé;BELA VISTA;2,6;69460;26715,38;134,83;0,94;14058;202,39
Mooca;BELEM;6;45057;7509,5;83,76;0,897;1933;42,901
Sé;BOM RETIRO;4;33892;8473;71,52;0,864;7440;219,521
Mooca;BRAS;3,5;29265;8361,43;61,36;0,868;8038;274,663
Freguesia do Ó;BRASILANDIA;21;264918;12615,14;47,68;0,769;14733;55,613
Butantã;BUTANTA;12,5;54196;4335,68;157,29;0,928;5523;101,908
Casa Verde;CACHOEIRINHA;13,3;143523;10791,2;58,64;0,802;4496;31,326
Sé;CAMBUCI;3,9;36948;9473,85;105,77;0,903;4980;134,784
Santo Amaro;CAMPO BELO;8,8;65752;7471,82;160,29;0,932;5308;80,728
Santo Amaro;CAMPO GRANDE;13,1;100713;7688,02;111,34;0,921;4938;49,03
Campo Limpo;CAMPO LIMPO;12,8;211361;16512,58;56,47;0,806;11539;54,594
Penha;CANGAIBA;16;136623;8538,94;78,64;0,825;6595;48,272
Campo Limpo;CAPAO REDONDO;13,6;268729;19759,49;50,72;0,782;16903;62,9
Aricanduva;CARRAO;7,5;83281;11104,13;142,93;0,886;2047;24,579
Casa Verde;CASA VERDE;7,1;85624;12059,72;105,22;0,874;8108;94,693
Cidade Ademar;CIDADE ADEMAR;12;266681;22223,42;60,27;0,8;17884;67,061
Capela do Socorro;CIDADE DUTRA;29,3;196360;6701,71;70,1;0,815;13730;69,923
Itaquera;CIDADE LIDER;10,2;126597;12411,47;69,43;0,817;5975;47,197
Cidade Tiradentes;CIDADE TIRADENTES;15;211501;14100,07;43,44;0,766;5582;26,392
Sé;CONSOLACAO;3,7;57365;15504,05;232,37;0,95;12568;219,088
Ipiranga;CURSINO;12,8;109088;8522,5;122,09;0,885;8825;80,898
Ermelino Matarazzo;ERMELINO MATARAZZO;8,7;113615;13059,2;66,26;0,801;4879;42,943
Freguesia do Ó;FREGUESIA DO O;10,5;142327;13554,95;102,35;0,85;5394;37,899
Capela do Socorro;GRAJAU;92;360787;3921,6;42,67;0,754;8584;23,792
Guaianases;GUAIANASES;8,6;164512;19129,3;49,89;0,768;6786;41,249
São Mateus;IGUATEMI;19,6;127662;6513,37;42,63;0,751;6251;48,965
Ipiranga;IPIRANGA;10,5;106865;10177,62;117,78;0,883;5799;54,265
Pinheiros;ITAIM BIBI;9,9;92570;9350,51;167,2;0,953;15302;165,302
Itaim Paulista;ITAIM PAULISTA;12;224074;18672,83;51,31;0,762;10481;46,775
Itaquera;ITAQUERA;14,6;204871;14032,26;64,47;0,795;7442;36,325
Jabaquara;JABAQUARA;14,1;223780;15870,92;89,41;0,858;7346;32,827
Jaçanã;JACANA;7,8;94609;12129,36;376,89;0,816;8160;86,25
Lapa;JAGUARA;4,6;24895;5411,96;47,04;0,863;7105;285,399
Lapa;JAGUARE;6,6;49863;7555;17,61;0,849;4513;90,508
Pirituba;JARAGUA;27,6;184818;6696,3;29,7;0,791;7486;40,505
M'Boi Mirim;JARDIM ANGELA;37,4;295434;7899,3;97,86;0,75;18341;62,082
São Miguel;JARDIM HELENA;9,1;135043;14839,89;127,84;0,751;4007;29,672
Pinheiros;JARDIM PAULISTA;6,1;88692;14539,67;38,99;0,957;17610;198,552
M'Boi Mirim;JARDIM SAO LUIS;24,7;267871;10844,98;187;0,796;18341;68,47
Itaquera;JOSE BONIFACIO;14,1;124122;8802,98;73,9;0,804;4156;33,483
Guaianases;LAJEADO;9,2;103996;11303,91;44,66;0,748;5678;54,598
Lapa;LAPA;10;65739;6573,9;168,54;0,941;6658;101,279
Sé;LIBERDADE;3,7;69092;18673,51;133,72;0,936;6663;96,437
Casa Verde;LIMAO;6,3;80229;12734,76;87,46;0,847;6302;78,55
Santana;MANDAQUI;13,1;107580;8212,21;111,81;0,885;7120;66,183
Parelheiros;MARSILAC;200;8258;41,29;69,3;0,701;4714;570,84
Vila Mariana;MOEMA;9;83368;9263,11;187,89;0,961;7534;90,37
Mooca;MOOCA;7,7;75724;9834,29;137,25;0,909;3592;47,435
Butantã;MORUMBI;11,4;46957;4119,04;102,78;0,938;5572;118,662
Parelheiros;PARELHEIROS;153,5;131183;854,61;39,59;0,747;4714;35,935
Mooca;PARI;2,9;17299;5965,17;76,3;0,863;12582;727,325
Itaquera;PARQUE DO CARMO;15,4;68258;4432,34;62,26;0,799;5538;81,133
Cidade Ademar;PEDREIRA;18,7;144317;7717,49;53,52;0,777;17884;123,922
Penha;PENHA;11,3;127820;11311,5;120,31;0,865;6472;50,634
Lapa;PERDIZES;6,1;111161;18223,11;184,47;0,957;13474;121,212
Perus;PERUS;23,9;80187;3355,1;45,32;0,772;7077;88,256
Pinheiros;PINHEIROS;8;65364;8170,5;194,39;0,96;15441;236,231
Pirituba;PIRITUBA;17,1;167931;9820,53;90,59;0,841;8795;52,373
Ermelino Matarazzo;PONTE RASA;6,4;93894;14670,94;99,67;0,834;7769;82,742
Butantã;RAPOSO TAVARES;12,6;100164;7949,52;59,3;0,819;5077;50,687
Sé;REPUBLICA;2,3;56981;24774,35;115,42;0,901;14058;246,714
Butantã;RIO PEQUENO;9,7;118459;12212,27;70,25;0,855;5572;47,037
Ipiranga;SACOMA;14,2;247851;17454,3;83,08;0,839;11850;47,811
Sé;SANTA CECILIA;3,9;83717;21465,9;138,86;0,93;31726;378,967
Santana;SANTANA;12,6;118797;9428,33;164,02;0,925;8470;71,298
Santo Amaro;SANTO AMARO;15,6;71560;4587,18;168,48;0,943;10798;150,894
Pirituba;SAO DOMINGOS;10;84843;8484,3;92,12;0,854;8141;95,954
Vila Prudente;SAO LUCAS;9,9;142347;14378,48;113,61;0,847;10550;74,115
São Mateus;SAO MATEUS;13,2;155140;11753,03;72,4;0,804;10978;70,762
São Miguel;SAO MIGUEL;7,5;92081;12277,47;67,67;0,808;5781;62,782
São Mateus;SAO RAFAEL;13;143992;11076,31;50,91;0,767;4816;33,446
Sapopemba;SAPOPEMBA;13,5;284524;21075,85;69,52;0,786;7463;26,23
Vila Mariana;SAUDE;8,9;130780;14694,38;174,7;0,942;3853;29,462
Sé;SE;2,1;23651;11262,38;53,34;0,858;20972;886,728
Capela do Socorro;SOCORRO;12,9;37783;2928,91;142,46;0,896;2791;73,869
Mooca;TATUAPE;8,2;91672;11179,51;156,98;0,936;10643;116,099
Jaçanã;TREMEMBE;56,3;197258;3503,69;63,63;0,826;8160;41,367
Santana;TUCURUVI;9;98438;10937,56;155,23;0,892;5769;58,605
Campo Limpo;VILA ANDRADE;10,3;127015;12331,55;48,47;0,853;4882;38,436
Itaim Paulista;VILA CURUCA;9,7;149053;15366,29;58,77;0,765;4016;26,943
Aricanduva;VILA FORMOSA;7,4;94799;12810,68;133,56;0,884;2314;24,41
Vila Maria/Vila Guilherme;VILA GUILHERME;6,9;54331;7874,06;107,02;0,868;4147;76,328
São Miguel;VILA JACUI;7,7;142372;18489,87;62,58;0,779;5673;39,846
Lapa;VILA LEOPOLDINA;7,2;39485;5484,03;100,67;0,907;3773;95,555
Vila Maria/Vila Guilherme;VILA MARIA;11,8;113463;9615,51;74,06;0,824;7215;63,589
Vila Mariana;VILA MARIANA;8,6;130484;15172,56;195,19;0,95;11214;85,942
Penha;VILA MATILDE;8,9;104967;11794,04;113,54;0,864;5207;49,606
Vila Maria/Vila Guilherme;VILA MEDEIROS;7,7;129919;16872,6;95,38;0,836;5681;43,727
Vila Prudente;VILA PRUDENTE;9,9;104242;10529,49;127,33;0,867;5114;49,059
Butantã;VILA SONIA;9,9;108441;10953,64;86,42;0,895;6115;56,39
